,Name,Pos,HT,WT,Age,YOS,Draft Status
42,Kevin Love,FC,6-8,251,36,16,2008 Rnd 1 Pick 5
7,Kyle Lowry,PG,6-0,196,39,18,2006 Rnd 1 Pick 24
5,Seth Lundy,GF,6-4,220,26,1,2023 Rnd 2 Pick 16
41,Trey Lyles,SF,6-9,234,29,9,2015 Rnd 1 Pick 12
54,Sandro Mamukelashvili,F,6-9,240,25,3,2021 Rnd 2 Pick 24
14,Terance Mann,SG,6-5,215,28,5,2019 Rnd 2 Pick 18
23,Tre Mann,PG,6-3,178,24,3,2021 Rnd 1 Pick 18
23,Lauri Markkanen,SF,7-0,240,27,7,2017 Rnd 1 Pick 7
13,Naji Marshall,SF,6-6,220,27,4,"2020 NBA Draft, Undrafted"
16,Caleb Martin,F,6-5,205,29,5,"2019 NBA Draft, Undrafted"
17,Cody Martin,F,6-6,205,29,5,2019 Rnd 2 Pick 6
4,Jaylen Martin,F,6-6,216,22,1,"2023 NBA Draft, Undrafted"
99,K.J. Martin,F,6-6,215,24,4,2020 Rnd 2 Pick 22
13,Tyrese Martin,GF,6-6,215,26,1,2022 Rnd 2 Pick 21
24,Garrison Mathews,SG,6-6,215,28,5,"2019 NBA Draft, Undrafted"
0,Bennedict Mathurin,GF,6-5,210,22,2,2022 Rnd 1 Pick 6
17,Karlo Matkovic,PF,6-10,231,24,0,2022 Rnd 2 Pick 22
0,Tyrese Maxey,PG,6-2,200,24,4,2020 Rnd 1 Pick 21
2,Miles McBride,G,6-1,195,24,3,2021 Rnd 2 Pick 6
20,Jared McCain,G,6-3,195,21,0,2024 Rnd 1 Pick 16
8,Mac McClung,PG,6-2,185,26,2,"2021 NBA Draft, Undrafted"
3,C.J. McCollum,G,6-3,190,33,11,2013 Rnd 1 Pick 10
9,T.J. McConnell,G,6-1,190,33,9,"2015 NBA Draft, Undrafted"
9,"Kevin McCullar, Jr.",PG,6-6,210,24,0,2024 Rnd 2 Pick 26
3,Jaden McDaniels,F,6-9,185,24,4,2020 Rnd 1 Pick 28
7,Doug McDermott,F,6-6,225,33,10,2014 Rnd 1 Pick 11
11,Bryce McGowens,GF,6-6,190,22,2,2022 Rnd 2 Pick 10
11,Jordan McLaughlin,G,6-0,185,28,5,"2018 NBA Draft, Undrafted"
58,Jack McVeigh,F,6-8,215,29,0,"2019 NBA Draft, Undrafted"
8,De'Anthony Melton,SG,6-3,200,26,6,2018 Rnd 2 Pick 16
5,Sam Merrill,G,6-4,205,28,4,2020 Rnd 2 Pick 30
18,Vasilije Micic,PG,6-3,188,31,1,2014 Rnd 2 Pick 22
32,Khris Middleton,SF,6-7,222,33,12,2012 Rnd 2 Pick 9
24,Brandon Miller,F,6-7,200,22,1,2023 Rnd 1 Pick 2
20,Emanuel Miller,SF,6-7,215,24,0,"2024 NBA Draft, Undrafted"
11,Jordan Miller,G,6-5,194,25,1,2023 Rnd 2 Pick 18
33,Leonard Miller,F,6-10,220,21,1,2023 Rnd 2 Pick 3
88,Patty Mills,G,6-2,180,36,15,2009 Rnd 2 Pick 25
20,Shake Milton,SG,6-5,205,28,6,2018 Rnd 2 Pick 24
10,Justin Minaya,F,6-5,205,26,2,"2022 NBA Draft, Undrafted"
27,Riley Minix,SF,6-7,230,24,0,"2024 NBA Draft, Undrafted"
