,Name,Pos,HT,WT,Age,YOS,Draft Status
5,Precious Achiuwa,SF,6-8,243,25,4,2020 Rnd 1 Pick 20
12,Steven Adams,C,6-11,265,31,11,2013 Rnd 1 Pick 12
13,Bam Adebayo,C,6-9,255,27,7,2017 Rnd 1 Pick 14
30,Ochai Agbaji,SF,6-5,215,24,2,2022 Rnd 1 Pick 14
7,Santi Aldama,C,7-0,215,24,3,2021 Rnd 1 Pick 30
23,Trey Alexander,SG,6-4,185,22,0,"2024 NBA Draft, Undrafted"
9,Nickeil Alexander-Walker,SG,6-5,205,26,5,2019 Rnd 1 Pick 17
8,Grayson Allen,SG,6-4,198,29,6,2018 Rnd 1 Pick 21
31,Jarrett Allen,C,6-9,243,26,7,2017 Rnd 1 Pick 22
15,Jose Alvarado,G,6-0,179,26,3,"2021 NBA Draft, Undrafted"
20,Kyle Anderson,PF,6-9,230,31,10,2014 Rnd 1 Pick 30
34,Giannis Antetokounmpo,F,6-11,243,30,11,2013 Rnd 1 Pick 15
50,Cole Anthony,PG,6-2,185,24,4,2020 Rnd 1 Pick 15
8,OG Anunoby,SF,6-7,240,27,7,2017 Rnd 1 Pick 23
1,Taran Armstrong,G,6-5,190,23,0,"2024 NBA Draft, Undrafted"
8,Deni Avdija,SG,6-9,240,24,4,2020 Rnd 1 Pick 9
2,Deandre Ayton,C,7-0,252,26,6,2018 Rnd 1 Pick 1
35,Marvin Bagley III,PF,6-10,235,26,6,2018 Rnd 1 Pick 2
35,Marcus Bagley,SF,6-6,217,23,0,"2023 NBA Draft, Undrafted"
23,"Patrick Baldwin, Jr.",SG,6-9,220,22,2,2022 Rnd 1 Pick 28
1,LaMelo Ball,G,6-7,180,23,4,2020 Rnd 1 Pick 3
2,Lonzo Ball,PG,6-6,190,27,7,2017 Rnd 1 Pick 2
5,Paolo Banchero,C,6-10,250,22,2,2022 Rnd 1 Pick 1
22,Desmond Bane,SG,6-5,215,26,4,2020 Rnd 1 Pick 30
5,Dalano Banton,PG,6-8,203,25,3,2021 Rnd 2 Pick 16
26,Dominick Barlow,F,6-8,215,21,2,"2022 NBA Draft, Undrafted"
40,Harrison Barnes,SF,6-8,225,32,12,2012 Rnd 1 Pick 7
4,Scottie Barnes,SF,6-7,237,23,3,2021 Rnd 1 Pick 4
9,R.J. Barrett,SG,6-6,214,24,5,2019 Rnd 1 Pick 3
28,Charles Bassey,PF,6-10,230,24,3,2021 Rnd 2 Pick 23
21,Emoni Bates,SF,6-8,202,21,1,2023 Rnd 2 Pick 19
77,Jamison Battle,SF,6-7,220,23,0,"2024 NBA Draft, Undrafted"
33,Nicolas Batum,F,6-8,230,36,16,2008 Rnd 1 Pick 25
7,Damion Baugh,SG,6-4,194,24,0,"2023 NBA Draft, Undrafted"
3,Bradley Beal,SG,6-4,207,31,12,2012 Rnd 1 Pick 3
5,Malik Beasley,SG,6-4,187,28,8,2016 Rnd 1 Pick 19
14,MarJon Beauchamp,SG,6-7,199,24,2,2022 Rnd 1 Pick 24
4,Reece Beekman,PG,6-3,190,23,0,"2024 NBA Draft, Undrafted"
14,Saddiq Bey,F,6-7,215,25,4,2020 Rnd 1 Pick 19
35,Goga Bitadze,C,6-10,250,25,5,2019 Rnd 1 Pick 18
18,Bismack Biyombo,PF,6-8,255,32,13,2011 Rnd 1 Pick 7
0,Anthony Black,G,6-7,200,21,1,2023 Rnd 1 Pick 6
10,Bogdan Bogdanovic,SG,6-5,225,32,7,2014 Rnd 1 Pick 27
11,Bol Bol,C,7-3,220,25,5,2019 Rnd 2 Pick 14
30,Adem Bona,C,6-10,235,22,0,2024 Rnd 2 Pick 11
1,Devin Booker,SG,6-6,206,28,9,2015 Rnd 1 Pick 13
11,"B.J. Boston, Jr.",SG,6-6,188,23,3,2021 Rnd 2 Pick 21
25,Chris Boucher,PF,6-9,200,32,7,"2017 NBA Draft, Undrafted"
15,Jamaree Bouyea,G,6-2,180,25,2,"2022 NBA Draft, Undrafted"
13,Tony Bradley,C,6-11,248,27,6,2017 Rnd 1 Pick 28
22,Malaki Branham,GF,6-4,180,21,2,2022 Rnd 1 Pick 20
0,Christian Braun,SF,6-6,220,23,2,2022 Rnd 1 Pick 21
15,Jalen Bridges,F,6-8,225,24,0,"2024 NBA Draft, Undrafted"
25,Mikal Bridges,SG,6-6,209,28,6,2018 Rnd 1 Pick 10
0,Miles Bridges,SF,6-7,225,27,5,2018 Rnd 1 Pick 12
15,Malcolm Brogdon,SG,6-4,229,32,8,2016 Rnd 2 Pick 6
9,Dillon Brooks,F,6-6,225,29,7,2017 Rnd 2 Pick 15
0,"Keion Brooks, Jr.",SF,6-7,210,24,0,"2024 NBA Draft, Undrafted"
7,Jaylen Brown,SF,6-6,223,28,8,2016 Rnd 1 Pick 3
0,"Bruce Brown, Jr.",SG,6-4,202,28,6,2018 Rnd 2 Pick 12
21,Kobe Brown,GF,6-7,250,25,1,2023 Rnd 1 Pick 30
11,Jalen Brunson,PG,6-2,190,28,6,2018 Rnd 2 Pick 3
3,Thomas Bryant,C,6-10,248,27,7,2017 Rnd 2 Pick 12
4,Kobe Bufkin,G,6-4,195,21,1,2023 Rnd 1 Pick 15
18,Alec Burks,SG,6-5,214,33,13,2011 Rnd 1 Pick 12
10,Jimmy Butler III,GF,6-7,230,35,13,2011 Rnd 1 Pick 30
12,Jared Butler,PG,6-3,193,24,3,2021 Rnd 2 Pick 10
14,Matas Buzelis,F,6-10,209,20,0,2024 Rnd 1 Pick 11
8,Jamal Cain,F,6-6,191,26,2,"2022 NBA Draft, Undrafted"
3,Kentavious Caldwell-Pope,SG,6-5,204,32,11,2013 Rnd 1 Pick 8
33,Toumani Camara,SF,6-7,229,24,1,2023 Rnd 2 Pick 22
31,Vlatko Cancar,SF,6-8,236,27,5,2017 Rnd 2 Pick 19
15,Clint Capela,PF,6-10,256,30,10,2014 Rnd 1 Pick 25
15,Branden Carlson,PF,7-0,220,25,0,"2024 NBA Draft, Undrafted"
8,Bub Carrington,G,6-4,190,19,0,2024 Rnd 1 Pick 14
22,Devin Carter,G,6-2,195,23,0,2024 Rnd 1 Pick 13
5,Jevon Carter,PG,6-1,200,29,6,2018 Rnd 2 Pick 2
34,"Wendell Carter, Jr.",PF,6-10,270,25,6,2018 Rnd 1 Pick 7
9,Alex Caruso,G,6-5,186,31,7,"2016 NBA Draft, Undrafted"
5,Stephon Castle,G,6-6,215,20,0,2024 Rnd 1 Pick 4
30,Julian Champagnie,F,6-7,217,23,2,"2022 NBA Draft, Undrafted"
9,Justin Champagnie,F,6-6,206,23,3,"2021 NBA Draft, Undrafted"
22,Ulrich Chomche,PF,6-11,235,20,0,2024 Rnd 2 Pick 27
12,Cameron Christie,SG,6-6,190,19,0,2024 Rnd 2 Pick 16
0,Max Christie,F,6-5,190,22,2,2022 Rnd 2 Pick 5
8,Josh Christopher,G,6-4,215,23,3,2021 Rnd 1 Pick 24
91,Sidy Cissoko,GF,6-6,200,21,1,2023 Rnd 2 Pick 14
22,Jaylen Clark,G,6-4,205,23,1,2023 Rnd 2 Pick 23
15,Brandon Clarke,PF,6-8,215,28,5,2019 Rnd 1 Pick 21
0,Jordan Clarkson,G,6-3,194,32,10,2014 Rnd 2 Pick 16
33,Nicolas Claxton,C,6-11,215,25,5,2019 Rnd 2 Pick 1
23,Donovan Clingan,C,7-2,280,21,0,2024 Rnd 1 Pick 7
21,Noah Clowney,F,6-9,210,20,1,2023 Rnd 1 Pick 21
7,Amir Coffey,SF,6-7,210,27,5,"2019 NBA Draft, Undrafted"
13,Isaiah Collier,G,6-3,210,20,0,2024 Rnd 1 Pick 29
20,John Collins,PF,6-9,226,27,7,2017 Rnd 1 Pick 19
12,Zach Collins,C,6-11,250,27,7,2017 Rnd 1 Pick 10
10,Mike Conley,PG,6-0,175,37,17,2007 Rnd 1 Pick 4
24,Pat Connaughton,SF,6-5,209,32,9,2015 Rnd 2 Pick 11
0,Bilal Coulibaly,GF,6-8,195,20,1,2023 Rnd 1 Pick 7
14,Ricky Council IV,G,6-6,207,23,1,"2023 NBA Draft, Undrafted"
12,Torrey Craig,GF,6-5,221,34,7,"2014 NBA Draft, Undrafted"
24,Isaiah Crawford,GF,6-6,220,23,0,"2024 NBA Draft, Undrafted"
99,Jae Crowder,SF,6-6,235,34,12,2012 Rnd 2 Pick 4
2,Cade Cunningham,SF,6-6,220,23,3,2021 Rnd 1 Pick 1
30,Seth Curry,G,6-1,185,34,11,"2013 NBA Draft, Undrafted"
30,Stephen Curry,G,6-2,185,37,15,2009 Rnd 1 Pick 7
23,Tristan Da Silva,F,6-8,217,23,0,2024 Rnd 1 Pick 18
4,Pacome Dadiet,SF,6-8,210,19,0,2024 Rnd 1 Pick 25
5,Dyson Daniels,GF,6-7,199,22,2,2022 Rnd 1 Pick 8
3,N'Faly Dante,PF,6-11,230,23,0,"2024 NBA Draft, Undrafted"
3,Anthony Davis,PF,6-10,253,32,12,2012 Rnd 1 Pick 1
20,J.D. Davison,F,6-1,195,22,2,2022 Rnd 2 Pick 23
10,DeMar DeRozan,GF,6-6,220,35,15,2009 Rnd 1 Pick 9
10,RayJ Dennis,PG,6-2,180,24,0,"2024 NBA Draft, Undrafted"
0,Donte DiVincenzo,SG,6-4,203,28,6,2018 Rnd 1 Pick 17
14,Moussa Diabate,PF,6-9,210,23,2,2022 Rnd 2 Pick 13
1,Gradey Dick,GF,6-6,200,21,1,2023 Rnd 1 Pick 13
13,Ousmane Dieng,SG,6-9,185,21,2,2022 Rnd 1 Pick 11
4,Rob Dillingham,G,6-3,175,20,0,2024 Rnd 1 Pick 8
26,Spencer Dinwiddie,PG,6-5,215,31,10,2014 Rnd 2 Pick 8
77,Luka Doncic,SF,6-6,230,26,6,2018 Rnd 1 Pick 3
5,Luguentz Dort,PG,6-4,220,25,5,"2019 NBA Draft, Undrafted"
11,Ayo Dosunmu,PG,6-5,200,25,3,2021 Rnd 2 Pick 8
11,Jeff Dowtin,PG,6-3,177,27,3,"2020 NBA Draft, Undrafted"
1,Andre Drummond,C,6-11,279,31,12,2012 Rnd 1 Pick 9
88,Alex Ducas,G,6-7,220,24,0,"2024 NBA Draft, Undrafted"
7,David Duke,SG,6-4,204,25,3,"2021 NBA Draft, Undrafted"
8,Kris Dunn,SG,6-3,205,31,8,2016 Rnd 1 Pick 5
0,Ryan Dunn,G,6-8,216,22,0,2024 Rnd 1 Pick 28
35,Kevin Durant,SF,6-11,240,36,17,2007 Rnd 1 Pick 2
0,Jalen Duren,PF,6-10,250,21,2,2022 Rnd 1 Pick 13
17,Tari Eason,F,6-8,215,23,2,2022 Rnd 1 Pick 17
14,Zach Edey,C,7-4,305,22,0,2024 Rnd 1 Pick 9
5,Anthony Edwards,SF,6-4,225,23,4,2020 Rnd 1 Pick 1
14,Jesse Edwards,C,7-0,236,25,0,"2024 NBA Draft, Undrafted"
19,Justin Edwards,SF,6-7,203,21,0,"2024 NBA Draft, Undrafted"
20,Kessler Edwards,SG,6-7,203,24,3,2021 Rnd 2 Pick 14
23,Keon Ellis,F,6-4,175,25,2,"2022 NBA Draft, Undrafted"
21,Joel Embiid,C,7-0,280,31,10,2014 Rnd 1 Pick 3
10,Tyson Etienne,G,6-2,200,25,0,"2022 NBA Draft, Undrafted"
15,Drew Eubanks,C,6-10,245,28,6,"2018 NBA Draft, Undrafted"
12,Tosan Evbuomwan,SF,6-7,217,24,1,"2023 NBA Draft, Undrafted"
0,Dante Exum,PG,6-5,214,29,8,2014 Rnd 1 Pick 5
22,Kyle Filipowski,C,6-11,250,21,0,2024 Rnd 2 Pick 2
17,Dorian Finney-Smith,SF,6-7,220,31,8,"2016 NBA Draft, Undrafted"
14,Adam Flagler,G,6-3,180,25,1,"2023 NBA Draft, Undrafted"
9,Trentyn Flowers,F,6-9,185,20,0,"2024 NBA Draft, Undrafted"
19,Simone Fontecchio,SF,6-7,209,29,2,"2017 NBA Draft, Undrafted"
4,De'Aaron Fox,PG,6-3,185,27,7,2017 Rnd 1 Pick 5
8,Enrique Freeman,F,6-7,220,24,0,2024 Rnd 2 Pick 20
20,Markelle Fultz,PG,6-4,209,26,7,2017 Rnd 1 Pick 1
12,Johnny Furphy,F,6-9,200,20,0,2024 Rnd 2 Pick 5
21,Daniel Gafford,C,6-10,265,26,5,2019 Rnd 2 Pick 8
10,Darius Garland,G,6-1,192,25,5,2019 Rnd 1 Pick 5
55,Luka Garza,C,6-10,243,26,3,2021 Rnd 2 Pick 22
3,Keyonte George,G,6-4,185,21,1,2023 Rnd 1 Pick 16
18,Kyshawn George,F,6-8,200,21,0,2024 Rnd 1 Pick 24
8,Paul George,GF,6-8,220,34,14,2010 Rnd 1 Pick 10
67,Taj Gibson,F,6-9,232,39,15,2009 Rnd 1 Pick 26
3,Josh Giddey,G,6-8,216,22,3,2021 Rnd 1 Pick 6
2,Shai Gilgeous-Alexander,PG,6-6,195,26,6,2018 Rnd 1 Pick 11
16,Anthony Gill,PF,6-8,230,32,4,"2016 NBA Draft, Undrafted"
12,Collin Gillespie,PG,6-1,195,26,2,"2022 NBA Draft, Undrafted"
27,Rudy Gobert,C,7-1,258,32,11,2013 Rnd 1 Pick 27
30,Jordan Goodwin,SG,6-5,215,26,3,"2021 NBA Draft, Undrafted"
32,Aaron Gordon,F,6-8,235,29,10,2014 Rnd 1 Pick 4
23,Eric Gordon,G,6-3,215,36,16,2008 Rnd 1 Pick 7
9,Jerami Grant,F,6-7,210,31,10,2014 Rnd 2 Pick 9
20,A.J. Green,PG,6-4,190,25,2,"2022 NBA Draft, Undrafted"
23,Draymond Green,F,6-6,230,35,12,2012 Rnd 2 Pick 5
4,Jalen Green,SG,6-4,186,23,3,2021 Rnd 1 Pick 2
8,Javonte Green,G,6-5,205,31,5,"2015 NBA Draft, Undrafted"
32,Jeff Green,F,6-8,235,38,16,2007 Rnd 1 Pick 5
10,Josh Green,SG,6-5,200,24,4,2020 Rnd 1 Pick 18
5,Quentin Grimes,SG,6-4,210,24,3,2021 Rnd 1 Pick 25
18,Mouhamed Gueye,F,6-10,210,22,1,2023 Rnd 2 Pick 9
28,Rui Hachimura,F,6-8,230,27,5,2019 Rnd 1 Pick 9
0,Tyrese Haliburton,PG,6-5,185,25,4,2020 Rnd 1 Pick 12
13,P.J. Hall,PF,6-10,245,23,0,"2024 NBA Draft, Undrafted"
8,Tim Hardaway Jr.,SG,6-5,205,33,11,2013 Rnd 1 Pick 24
1,James Harden,SG,6-5,220,35,15,2009 Rnd 1 Pick 3
1,Jaden Hardy,SG,6-3,198,22,2,2022 Rnd 2 Pick 7
16,E.J. Harkless,PG,6-3,195,25,0,"2023 NBA Draft, Undrafted"
13,Ron Harper,G,6-4,233,24,2,"2022 NBA Draft, Undrafted"
14,Gary Harris,SG,6-4,210,30,10,2014 Rnd 1 Pick 19
12,Tobias Harris,F,6-8,226,32,13,2011 Rnd 1 Pick 19
3,Josh Hart,SG,6-4,215,30,7,2017 Rnd 1 Pick 30
55,Isaiah Hartenstein,PF,7-0,250,26,6,2017 Rnd 2 Pick 13
30,Sam Hauser,SF,6-7,217,27,3,"2021 NBA Draft, Undrafted"
24,Jordan Hawkins,G,6-5,190,22,1,2023 Rnd 1 Pick 14
11,Jaxson Hayes,PF,7-0,220,24,5,2019 Rnd 1 Pick 8
0,Scoot Henderson,G,6-3,206,21,1,2023 Rnd 1 Pick 3
0,Taylor Hendricks,F,6-9,215,21,1,2023 Rnd 1 Pick 9
14,Tyler Herro,SG,6-5,195,25,5,2019 Rnd 1 Pick 13
7,Buddy Hield,G,6-4,220,32,8,2016 Rnd 1 Pick 6
24,Haywood Highsmith,F,6-5,220,28,4,"2018 NBA Draft, Undrafted"
0,Aaron Holiday,PG,6-0,185,28,6,2018 Rnd 1 Pick 23
4,Jrue Holiday,G,6-4,205,34,15,2009 Rnd 1 Pick 17
0,Ron Holland,F,6-8,206,19,0,2024 Rnd 1 Pick 5
14,DaRon Holmes II,PF,6-10,225,22,0,2024 Rnd 1 Pick 22
22,Richaun Holmes,F,6-9,235,31,9,2015 Rnd 2 Pick 7
7,Chet Holmgren,C,7-1,208,22,2,2022 Rnd 1 Pick 2
17,Jalen Hood-Schifino,PG,6-5,210,21,1,2023 Rnd 1 Pick 17
42,Al Horford,FC,6-9,240,38,17,2007 Rnd 1 Pick 3
22,Talen Horton-Tucker,SF,6-4,234,24,5,2019 Rnd 2 Pick 16
2,Caleb Houstan,SF,6-8,205,22,2,2022 Rnd 2 Pick 2
13,Jett Howard,GF,6-6,215,21,1,2023 Rnd 1 Pick 11
13,Kevin Huerter,SF,6-7,198,26,6,2018 Rnd 1 Pick 19
