Month,Block Reward (BTC),Daily Issuance (BTC),Monthly_Issuance_(BTC),Total Circulating Supply (BTC)
2022-01,6.25,900,27900,17962200
2022-02,6.25,900,25200,17987400
2022-03,6.25,900,27900,18015300
2022-04,6.25,900,27000,18042300
2022-05,6.25,900,27900,18070200
2022-06,6.25,900,27000,18097200
2022-07,6.25,900,27900,18125100
2022-08,6.25,900,27900,18153000
2022-09,6.25,900,27000,18180000
2022-10,6.25,900,27900,18207900
2022-11,6.25,900,27000,18234900
2022-12,6.25,900,27900,18262800
2023-01,6.25,900,27900,18290700
2023-02,6.25,900,25200,18315900
2023-03,6.25,900,27900,18343800
2023-04,6.25,900,27000,18370800
2023-05,6.25,900,27900,18398700
2023-06,6.25,900,27000,18425700
2023-07,6.25,900,27900,18453600
2023-08,6.25,900,27900,18481500
2023-09,6.25,900,27000,18508500
2023-10,6.25,900,27900,18536400
2023-11,6.25,900,27000,18563400
2023-12,6.25,900,27900,18591300
2024-01,6.25,900,27900,18619200
2024-02,6.25,900,26100,18645300
2024-03,6.25,900,27900,18673200
2024-04,6.25,900,27000,18700200
2024-05,3.125,450,13950,18714150
2024-06,3.125,450,13500,18727650
2024-07,3.125,450,13950,18741600
2024-08,3.125,450,13950,18755550
2024-09,3.125,450,13500,18769050
2024-10,3.125,450,13950,18783000
2024-11,3.125,450,13500,18796500
2024-12,3.125,450,13950,18810450
2025-01,3.125,450,13950,18824400
2025-02,3.125,450,12600,18837000
2025-03,3.125,450,13950,18850950
2025-04,3.125,450,13500,18864450
2025-05,3.125,450,13950,18878400
2025-06,3.125,450,13500,18891900
2025-07,3.125,450,13950,18905850
2025-08,3.125,450,13950,18919800
2025-09,3.125,450,13500,18933300
2025-10,3.125,450,13950,18947250
2025-11,3.125,450,13500,18960750
2025-12,3.125,450,13950,18974700
2026-01,3.125,450,13950,18988650
2026-02,3.125,450,12600,19001250
2026-03,3.125,450,13950,19015200
2026-04,3.125,450,13500,19028700
2026-05,3.125,450,13950,19042650
2026-06,3.125,450,13500,19056150
2026-07,3.125,450,13950,19070100
2026-08,3.125,450,13950,19084050
2026-09,3.125,450,13500,19097550
2026-10,3.125,450,13950,19111500
2026-11,3.125,450,13500,19125000
2026-12,3.125,450,13950,19138950
2027-01,3.125,450,13950,19152900
2027-02,3.125,450,12600,19165500
2027-03,3.125,450,13950,19179450
2027-04,3.125,450,13500,19192950
2027-05,3.125,450,13950,19206900
2027-06,3.125,450,13500,19220400
2027-07,3.125,450,13950,19234350
2027-08,3.125,450,13950,19248300
2027-09,3.125,450,13500,19261800
2027-10,3.125,450,13950,19275750
2027-11,3.125,450,13500,19289250
2027-12,3.125,450,13950,19303200
2028-01,3.125,450,13950,19317150
2028-02,3.125,450,13050,19330200
2028-03,3.125,450,13950,19344150
2028-04,3.125,450,13500,19357650
2028-05,3.125,450,13950,19371600
2028-06,3.125,450,13500,19385100
2028-07,3.125,450,13950,19399050
2028-08,3.125,450,13950,19413000
2028-09,3.125,450,13500,19426500
2028-10,3.125,450,13950,19440450
2028-11,3.125,450,13500,19453950
2028-12,3.125,450,13950,19467900
